id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_region,municipality,scheduled_service,gps_code,iata_code,score
46570,IN-0047,heliport,Mahalaxmi Race Course Helipad,18.98203333,72.82156667,,IN-MM,Mumbai,0,,,-4
46571,IN-0048,heliport,Raj Bhavan Helipad,18.94265,72.79401667,,IN-MM,Mumbai,0,,,-4
46564,IN-0041,heliport,HQ Eastern Air Command Helipad,25.53818333,91.82655,,IN-ML,Myliem,0,,,-4
46560,IN-0037,heliport,Namchi Helipad,27.15673333,88.32206667,,IN-SK,Nayabazar,0,,,-4
331083,IN-0105,small_airport,Muhammad Ali Khan,0,0,,IN-DL,New Delhi,1,,,-4
314033,OMN,small_airport,Osmanabad Airport,18.281,76.0574,2277,IN-MM,Osmanabad,0,,OMN,-4
46563,IN-0040,heliport,Pedong Helipad,27.15593333,88.61065,,IN-SK,Pedong,0,,,-4
46559,IN-0036,heliport,Pelling Helipad,27.3005,88.23085,,IN-SK,Pelling City,0,,,-4
46573,IN-0050,heliport,Phalodi Airfield,27.11283333,72.389,,IN-RJ,Phalodi,0,,,-4
311989,IN-0088,small_airport,Poonch Airport,33.76875,74.083753,3219,IN-JK,Poonch,0,,,-4
46606,IN-0054,closed,Charra Airfield,23.36577729,86.43673897,,IN-WB,Purulia,0,,,-4
313998,RMD,small_airport,Basanth Nagar Airport,18.701,79.3923,670,IN-TG,Ramagundam,0,VORG,RMD,-4
313997,VORG,small_airport,Basanth Nagar Airport,18.701,79.3923,670,IN-U-A,Ramagundam,0,VORG,RMD,-4
317980,IN-0097,small_airport,Surichua Air Base,24.18824,87.701722,280,IN-WB,Rampurhat,0,,,-4
46609,IN-0057,closed,Rasgovindpur Airstrip,21.80508952,87.04690933,,IN-OR,Rasgovindpur,0,,,-4
46515,IN-0026,small_airport,Korba Airport,22.41416667,82.71944444,1200,IN-CT,Rumgara,0,,,-4
46555,IN-0032,heliport,Saiha Helipad,22.48858333,92.98695,,IN-MZ,Saiha,1,,,-4
46558,IN-0035,heliport,Sevoke Road Indian Army Heliport,26.7744,88.45231667,472,IN-WB,Salugara,0,,,-4
46553,IN-0030,heliport,Serchhip Helipad,23.32875,92.85606667,,IN-MZ,Serchhip,0,,,-4
46565,IN-0042,heliport,Shillong Indian Army Helipad,25.54425,91.88171667,,IN-ML,Shillong,0,,,-4
327452,VASD,medium_airport,Shirdi Airport,19.688611,74.378889,1926,IN-MM,Shirdi,1,VASD,SAG,-4
46625,IN-0062,small_airport,Shirpur Airport,21.32399879,74.95673418,,IN-MM,Shirpur,0,,,-4
46640,IN-0064,small_airport,Umaria Air Field,23.53251391,80.80821991,1510,IN-MP,Umaria,0,,,-4
46561,IN-0038,heliport,Upper Tadong Indian Army Helipad,27.30671667,88.59965,,IN-SK,Upper Tadong,0,,,-4
319166,IN-0101,small_airport,Vanasthali Airport,26.407627,75.870128,,IN-RJ,Vanasthali,0,,,-4
46557,IN-0034,small_airport,Vijay Nagar Airport,19.8841,73.84056667,,IN-MM,Vijay Nagar,0,,,-4
